#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533882	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057
OTU_290	0	15	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_291	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_292	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
OTU_293	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	15
OTU_294	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_295	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_296	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
OTU_297	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
OTU_298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
OTU_299	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	549	14	0	240	5	69	128	299278	12	25822	285	48	0	0	123	0	39364	1882	48
OTU_30	0	8	0	0	31	0	0	8	0	19	1178	0	1145	0	0	21	0	73	3348
OTU_300	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
OTU_301	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	3	0	0	0
OTU_302	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_303	0	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0
OTU_304	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_305	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_306	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU_307	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU_308	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU_309	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	0	0	0	0	4306	1926	122	0	0	0	0	52	0	94	0	0	0	0	0
OTU_310	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU_311	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU_312	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
OTU_313	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU_314	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
OTU_315	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
OTU_316	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
OTU_317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
OTU_318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
OTU_319	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_32	0	0	0	0	0	0	0	0	3053	0	0	0	107	0	0	11	0	0	0
OTU_320	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU_321	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
OTU_322	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
OTU_323	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
OTU_324	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
OTU_325	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
OTU_326	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_327	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_328	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_329	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0
OTU_33	0	0	0	2265	3042	0	118	0	0	7	0	0	64	241	0	0	0	0	0
