#OTU ID	SRR19509437	SRR19509413	SRR19509414	SRR19509409	SRR19509419	SRR19509420	SRR19509430	SRR19509434	SRR19509427	SRR19509407	SRR19509435	SRR19509417	SRR19509422	SRR19509428	SRR19509433	SRR19509411	SRR19509408	SRR19509410	SRR19509415	SRR19509429	SRR19509403	SRR19509423	SRR19509416	SRR19509421	SRR19509412	SRR19509424	SRR19509425	SRR19509404	SRR19509405	SRR19509432	SRR19509436	SRR19509406
Zotu278	2	1	0	0	0	0	0	0	0	0	0	4	0	0	1	18	0	0	0	0	0	0	7	0	3	1	9	0	0	1	0	0
Zotu654	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Zotu406	2	0	0	0	0	1	0	0	5	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	3	1	5	0	0	0	0
Zotu444	1	0	0	8	0	2	3	0	2	0	0	0	0	0	3	0	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0
Zotu174	1	0	0	1	0	0	0	0	12	0	0	6	0	4	0	21	0	1	0	0	0	0	1	0	20	0	7	4	0	0	0	0
Zotu210	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	21	0	0	0	0	0	0	23	0	2	0	6	6	0	0	0	0
Zotu689	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	5	0	2	0	0	0	0	0
Zotu666	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0
Zotu545	1	0	0	0	0	0	0	0	0	0	8	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2	1	10814	1578	4093	29275	4696	2595	10037	1766	1607	12361	1	20574	2	3996	7061	6	1578	1292	8569	7259	24322	2	25208	5958	1984	12891	8210	514	1103	18542	282
Zotu447	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	13	0	3	2	0	0	0	0
Zotu432	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	1	0	13	0	5	0	0	0	0	0
Zotu267	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	24	0	0	0	0	0	0	3	0	7	0	4	5	0	0	0	0
Zotu353	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	19	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Zotu687	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0
Zotu661	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0
Zotu1	2	1969	33643	126	0	0	0	0	0	32084	0	45063	0	36313	0	0	0	67	46968	1	2009	0	1	0	3600	1051	0	498	37026	38462	3	2
Zotu398	2	0	0	2	0	0	1	0	4	0	0	0	1	0	3	3	0	1	0	3	0	0	3	0	1	0	1	0	0	0	0	0
Zotu213	5	0	0	0	0	0	0	0	0	0	0	9	0	4	0	22	0	0	0	0	2	0	8	0	12	0	11	0	0	0	0	0
