"testing_cohort","training_cohort","pipeline","level","AUC"
"Gressel","Walsh (N=99)","Tsementzi","class",0.825353015146129
"Tsementzi","Walsh (N=99)","Tsementzi","class",0.374899788975419
"Angel","Walsh (N=99)","Tsementzi","order",0.766516111266994
"Antonio","Walsh (N=99)","Tsementzi","order",0.607114798781465
"Gressel","Walsh (N=99)","Tsementzi","order",0.74434374948168
"Tsementzi","Walsh (N=99)","Tsementzi","order",0.28495855517707
"Angel","Walsh (N=99)","Tsementzi","family",0.716988918096073
"Antonio","Walsh (N=99)","Tsementzi","family",0.625633317299984
"Gressel","Walsh (N=99)","Tsementzi","family",0.880846985997571
"Tsementzi","Walsh (N=99)","Tsementzi","family",0.263512576288168
"Angel","Walsh (N=99)","Tsementzi","genus",0.727965856099038
"Antonio","Walsh (N=99)","Tsementzi","genus",0.639758698092031
"Gressel","Walsh (N=99)","Tsementzi","genus",0.855881653543074
"Tsementzi","Walsh (N=99)","Tsementzi","genus",0.353288246018423
